Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
Imaginative,Thoughtful,Cheerful ,Trustworthy ,Calm
Insightful,Goal-oriented,Sociable, Altruism , Strong hearted
Curious ,Ambitious,Talkative , Kind ,Collected
Creative,Organised,Assertive, Affectionate ,Balanced
Outspoken,Mindful,Outgoing,Cooperative,Peaceful
Straightforward,Vigilant,Energetic , Empathetic,Tranquil
Direct,Control,Extroverted,Modest,Strong-willed
Receptive,Disciplined,Friendly ,Sympathetic ,"Emotionally
Stable"
Open-minded,Reliable ,Enthusiastic ,Compliant,Serene
Adventurous,Responsible,Outspoken,Tender-mindedness , Resilient
